"year","state","14–17","18–24","25–29","30–39","40–49","50–59","60+"
2007,"New South Wales",12.3,20.6,23.2,16.6,10.9,8.5,4
2010,"New South Wales",12.9,24.7,23.5,17.5,13.3,9.3,5.1
2013,"New South Wales",14,29.8,23.1,15.8,11.9,10.5,6.6
2016,"New South Wales",9.1,24.8,23.9,19.1,14.3,11.3,7.6
2019,"New South Wales",6.8,31.5,24.7,18.7,16.1,12.3,8.1
2007,"Victoria",11.2,26.4,30.1,15.8,10.4,6,3.5
2010,"Victoria",14.9,25.3,25.9,17.9,11.4,8.1,4.2
2013,"Victoria",11,29.6,23.6,16.5,11.8,10.3,6.3
2016,"Victoria",10.1,28.2,29,16.2,15.1,10,6.5
2019,"Victoria",9.4,33.9,30.7,20.1,16.2,11.1,7
2007,"Queensland",10.8,32.4,27,15.8,10.8,5.8,5.2
2010,"Queensland",13.5,30.2,28.9,18.9,12.4,8.2,5.3
2013,"Queensland",11.2,28.5,24.4,19.1,15.5,11.8,6.2
2016,"Queensland",13.6,32.2,31.3,19.1,16.3,12.8,6.3
2019,"Queensland",12.7,29.9,30.9,21.2,16,13.7,6.7
2007,"Western Australia",19.2,33,34.4,18.4,12.3,8.1,5.2
2010,"Western Australia",18.1,35.4,35.9,24.1,13.6,8.5,7.9
2013,"Western Australia",21.1,23.9,27.4,22.2,15.9,11.5,7.1
2016,"Western Australia",9.2,29,29.4,18,20.7,12.6,6
2019,"Western Australia",7.6,26.4,37,16.5,14.8,15.7,5.5
2007,"South Australia",18.9,25.3,32.4,18.7,18.7,5.2,4.4
2010,"South Australia",20,29.4,25.5,20.6,12.5,9,5.4
2013,"South Australia",15.8,27.5,28.5,16.6,17.7,13.3,6
2016,"South Australia",10.7,28.9,24.3,17.4,20.9,14.7,6
2019,"South Australia",14.9,27.6,28.2,14.1,16.1,16.1,7.6
2007,"Tasmania",14.8,28.3,41,15.3,13,8.5,6.2
2010,"Tasmania",12.5,20.2,13.1,17.1,15.5,9.7,4.3
2013,"Tasmania",25.8,27.6,36.9,19.4,12.9,11.1,3.7
2016,"Tasmania",18.3,40,23.1,23,17,11.4,10.1
2019,"Tasmania",NA,31,23.9,20.9,18,17.6,6.6
2007,"Australian Capital Territory",9.6,33.6,22.7,17.5,8.6,6.3,3.6
2010,"Australian Capital Territory",9.2,27.3,22.3,14.8,13.5,7.3,5.5
2013,"Australian Capital Territory",18.9,26.8,19.7,19,13.1,9.5,6
2016,"Australian Capital Territory",15.2,21.9,19.9,13.3,14.7,7,5.6
2019,"Australian Capital Territory",NA,37.3,26.2,12.5,9.7,10.5,5
2007,"Northern Territory",28.8,32.3,24.6,22.6,22.6,10.3,2.7
2010,"Northern Territory",12.1,24.8,36.7,22.3,22.5,16.1,7.9
2013,"Northern Territory",27.9,29.5,29.6,24,17.2,15.8,14.2
2016,"Northern Territory",24.6,29.6,27.8,22.1,18.7,21.5,11.3
2019,"Northern Territory",8.2,38.9,23.9,21.6,19.3,15.7,9.3
2007,"Australia",13.2,26.5,27.9,16.7,11.6,7,4.3
2010,"Australia",14.5,27.4,26.6,18.8,12.8,8.8,5.2
2013,"Australia",14.1,28.6,24.7,17.6,13.6,11.1,6.4
2016,"Australia",10.9,28.2,27.2,18.1,16.2,11.7,6.9
2019,"Australia",9.7,31.2,28.9,19.1,16,13.1,7.2
